#,Country,Stability,Rights,Health,Safety,Climate,Costs,Popularity,Total
1,San Marino,81,82,100,97,62,61,46,76
2,Australia,86,95,87,94,90,24,41,75
3,Hong Kong,81,82,100,99,49,60,52,75
4,Macao,89,69,100,98,48,65,50,74
5,Switzerland,91,99,93,99,35,42,40,73
6,Malta,88,69,91,99,75,39,43,72
7,Luxembourg,92,97,86,99,25,45,42,71
8,Singapore,82,89,79,100,45,53,42,71
9,Japan,86,88,92,99,54,29,41,71
10,Spain,65,73,87,93,74,41,68,71
11,Portugal,75,76,82,99,71,45,38,70
12,Germany,83,95,96,96,21,45,42,70
13,South Korea,84,77,92,89,56,41,41,69
14,Bermuda,90,78,86,81,69,34,35,69
15,Austria,82,90,96,99,27,37,43,69
16,New Zealand,90,100,81,97,36,29,36,69
17,Sweden,85,100,86,94,22,42,38,68
18,France,72,85,91,86,41,30,71,68
19,Norway,90,99,90,96,16,35,37,68
20,Finland,84,100,87,96,17,46,32,68
21,Canada,85,93,79,97,33,35,45,68
22,Cyprus,65,67,77,85,75,53,48,67
23,Denmark,84,100,84,99,17,35,41,67
24,Uruguay,74,82,70,80,78,42,28,67
25,Netherlands,81,99,83,95,21,40,36,66
26,Slovenia,77,72,83,99,40,56,32,66
27,United Arab Emirates,84,64,65,87,62,67,28,66
28,United States,67,83,69,68,66,34,71,66
29,Qatar,84,59,59,94,61,70,34,66
30,Croatia,66,59,78,96,50,68,38,64
31,Italy,65,66,87,91,57,31,59,64
32,Greece,55,63,87,87,70,44,45,64
33,Czechia,73,76,88,99,23,49,40,64
34,Iceland,83,94,87,100,7,37,33,64
35,Israel,56,75,83,69,81,34,30,63
36,Hungary,67,56,79,97,43,58,48,63
37,Belgium,71,88,90,94,20,32,40,63
38,Ireland,82,93,81,99,2,35,37,62
39,Poland,64,65,77,93,27,57,51,62
40,Estonia,72,90,78,90,17,42,26,61
41,Bulgaria,60,51,78,93,49,61,39,60
42,Chile,63,77,65,84,47,45,33,60
43,United Kingdom,74,90,77,91,6,34,43,60
44,Botswana,64,66,20,78,84,55,50,59
45,Saudi Arabia,62,45,64,77,55,74,46,59
46,Bahrain,62,47,63,82,63,71,28,59
47,Lithuania,69,78,82,88,20,44,22,59
48,Slovakia,66,67,74,94,35,41,33,58
49,Latvia,67,75,73,89,19,55,23,58
50,Romania,61,57,71,91,37,67,24,58
51,North Macedonia,49,48,68,89,58,65,36,58
52,Malaysia,72,56,58,95,44,45,44,58
53,Kuwait,73,45,72,90,31,72,25,58
54,China,69,37,69,83,54,38,72,57
55,Costa Rica,69,66,57,79,52,42,31,57
56,Georgia,51,62,63,80,45,55,36,56
57,Oman,72,45,54,86,43,68,31,56
58,Argentina,43,42,77,81,73,42,34,55
59,Mongolia,64,42,62,83,44,66,31,55
60,Montenegro,44,52,65,86,53,61,24,55
61,Albania,57,43,60,87,55,58,25,54
62,Thailand,59,40,69,80,46,53,42,54
63,Paraguay,56,34,43,76,78,63,35,54
64,Tunisia,42,46,54,80,76,48,40,54
65,Jordan,50,46,59,86,51,61,28,54
66,Sri Lanka,54,42,60,81,57,56,33,54
67,Morocco,53,38,48,82,81,45,37,53
68,Ecuador,64,38,53,71,60,59,25,53
69,Serbia,51,43,69,86,51,57,11,52
70,Bosnia and Herzegovina,40,38,65,86,49,69,26,52
71,Trinidad and Tobago,69,50,59,54,51,46,29,52
72,Armenia,42,50,65,83,50,52,22,52
73,Kazakhstan,60,35,68,79,40,57,33,52
74,Vietnam,69,35,50,81,53,49,34,52
75,Dominican Republic,60,44,48,73,61,46,30,51
76,Turkey,35,35,60,64,62,59,50,51
77,South Africa,42,54,26,40,95,49,40,51
78,Peru,55,42,46,77,60,47,34,51
79,Algeria,40,24,59,80,76,53,36,51
80,Bolivia,62,26,29,81,84,49,32,50
81,Ghana,56,49,25,88,56,45,38,50
82,Moldova,48,43,62,83,40,58,14,50
83,India,56,46,30,69,62,43,49,49
84,Jamaica,58,52,42,46,73,44,18,49
85,Indonesia,62,45,30,89,40,53,38,49
86,Nepal,55,36,36,84,57,57,27,49
87,Rwanda,47,48,20,81,61,55,35,49
88,Uzbekistan,50,23,56,82,53,61,30,49
89,Brazil,46,44,57,51,65,40,31,48
90,Egypt,40,27,40,76,66,59,44,48
91,Kenya,46,34,11,72,90,48,43,48
92,Mexico,53,33,45,42,82,30,53,48
93,Kyrgyzstan,46,24,58,68,48,71,24,47
94,Russia,55,24,71,53,33,59,43,47
95,Lesotho,44,38,12,43,89,65,36,47
96,Laos,55,20,33,81,48,74,34,47
97,Madagascar,50,27,16,77,74,63,33,47
98,Philippines,55,38,40,70,49,46,34,47
99,Pakistan,26,26,29,63,72,62,65,46
100,Bangladesh,48,25,42,81,50,60,33,46
101,Azerbaijan,47,24,64,55,56,60,19,46
102,Zambia,47,32,11,82,68,53,46,46
103,Gambia,52,36,21,80,57,56,31,46
104,Ukraine,31,36,68,59,37,58,39,46
105,Cambodia,60,18,27,77,51,63,35,45
106,Colombia,43,44,54,35,55,45,27,45
107,El Salvador,58,35,43,41,66,48,11,45
108,Tajikistan,52,12,53,80,48,51,33,44
109,Uganda,47,28,12,69,71,56,37,44
110,Lebanon,14,21,58,68,71,46,45,44
111,Honduras,45,24,35,40,83,55,23,44
112,Belarus,41,24,79,75,22,40,36,43
113,Sierra Leone,39,33,9,86,44,63,47,43
114,Ivory Coast,51,36,12,69,53,50,37,43
115,Togo,54,29,13,73,50,54,38,43
116,Guatemala,56,26,35,61,49,42,25,41
117,Ethiopia,25,29,12,38,81,63,42,41
118,Burundi,27,10,9,68,76,63,54,41
119,Nicaragua,46,14,44,64,61,39,25,40
120,Zimbabwe,28,13,8,69,92,37,35,38
121,Congo,36,13,28,71,45,55,34,38
122,Afghanistan,30,9,15,37,64,63,63,37
123,Iran,22,13,54,65,58,27,41,37
124,Iraq,24,13,41,49,37,73,32,37
125,Myanmar,30,11,30,24,50,73,33,35
126,Nigeria,25,23,12,43,53,55,38,34
127,Chad,47,10,0,57,48,49,44,34
128,Sudan,7,11,17,35,40,68,23,28
